id,artist,title,label,category,format,price,item_url,thumb_url
1,DIP SHIM ,Mollan City Breakers Ep,Malmo Traxx,techno,12inch,10.49,https://clone.nl//item63835.html,https://clone.nl/platen/artwork/large/plaatimage63115.jpg
2,Ewan Jansen,Island Diary,Butter Sessions,techno,LP,17.49,https://clone.nl//item63829.html,https://clone.nl/platen/artwork/large/plaatimage63109.jpg
3,Xen Chron,Deleted Vapor,Fever AM,techno,12inch,10.99,https://clone.nl//item63807.html,https://clone.nl/platen/artwork/large/plaatimage63092.jpg
4,Head Front Panel,Phonetic EP,Repetitive Rhythm Research,techno,12inch,10.99,https://clone.nl//item63778.html,https://clone.nl/platen/artwork/large/plaatimage63063.jpg
5,Lander,Transit EP,Creme,techno,12inch,10.49,https://clone.nl//item63751.html,https://clone.nl/platen/artwork/large/plaatimage63038.jpg
6,steve o'sullivan,green trax,Trip,techno,2x12inch,22.99,https://clone.nl//item63746.html,https://clone.nl/platen/artwork/large/plaatimage63033.jpg
7,Periskop,Thrust EP,Kabalion,techno,12inch,8.99,https://clone.nl//item63726.html,https://clone.nl/platen/artwork/large/plaatimage63014.jpg
8,Nuron & Fugue,Likemind 06 Nuron / Fugue,Likemind,techno,2x12inch,23.99,https://clone.nl//item63708.html,https://clone.nl/platen/artwork/large/plaatimage62996.jpg
9,214,Around The Bend,Klakson,techno,12inch,10.49,https://clone.nl//item63695.html,https://clone.nl/platen/artwork/large/plaatimage62983.jpg
10,Omar,Terremoto EP,SISMO,techno,12inch,13.49,https://clone.nl//item63690.html,https://clone.nl/platen/artwork/large/plaatimage62978.jpg
11,Various Artists,Spektrum,Life In Patterns,techno,12inch,12.49,https://clone.nl//item63689.html,https://clone.nl/platen/artwork/large/plaatimage62977.jpg
12,Reality Or Nothing,One Day Away,Housewerk,techno,12inch,11.99,https://clone.nl//item63593.html,https://clone.nl/platen/artwork/large/plaatimage62886.jpg
13,The Exaltics & Helena Hauff,Futuros ep,Solar One Music,techno,PICTURE LP,18.99,https://clone.nl//item63567.html,https://clone.nl/platen/artwork/large/plaatimage62861.jpg
14,SC-164,Generator EP,Modal Analysis,techno,12inch,11.49,https://clone.nl//item63556.html,https://clone.nl/platen/artwork/large/plaatimage62847.jpg
15,Giordano,Into Your Mind EP,Savy,techno,12inch,10.99,https://clone.nl//item63547.html,https://clone.nl/platen/artwork/large/plaatimage62838.jpg
